problem,old_ms,new_ms,ratio,status,bucket,rayon,i128,u128,hashmap,pow_mod,already,next,confidence
372,339,157,2.16,OK,fast_no_action,False,True,False,False,False,,,
373,1248,722,1.73,OK,fast_no_action,False,True,False,True,False,,,
374,700,364,1.92,OK,fast_no_action,False,True,False,False,False,,,
375,477,330,1.45,OK,fast_no_action,False,True,False,False,False,,,
376,26,18,1.44,OK,fast_no_action,False,False,False,True,False,,,
377,30,10,3.0,OK,fast_no_action,False,True,False,False,False,,,
378,10061,5367,1.87,OK,needs_refactor,False,False,False,False,False,,"Shrink right_arr to i32 (counts < 6e7), drop SPF after dt, keep Fenwick sequential; optional rayon over independent dt[i] given SPF.",high
379,7827,3215,2.43,OK,needs_refactor,True,False,False,False,False,,Keep outer d par_iter; run t_func inner loop sequentially to drop nested-rayon contention.,high
380,6,1,6.0,OK,fast_no_action,False,False,False,False,False,,,
381,770,173,4.45,OK,fast_no_action,True,False,False,False,False,,,
382,1,1,1.0,OK,fast_no_action,False,False,False,False,True,,,
383,1,1,1.0,OK,fast_no_action,False,False,False,True,False,,,
384,12,6,2.0,OK,fast_no_action,False,False,False,True,False,,,
385,5,1,5.0,OK,fast_no_action,False,True,False,False,False,,,
386,1551,873,1.78,OK,already_opt_fast,False,False,False,False,False,optimized=true,already optimized FxHashMap memo; little playbook left,med
387,452,101,4.48,OK,fast_no_action,False,False,False,False,False,,,
388,352,113,3.12,OK,fast_no_action,False,True,False,True,False,,,
389,0,1,,OK,fast_no_action,False,False,False,False,False,,,
390,101,21,4.81,OK,already_opt_fast,True,False,True,False,False,optimized=true,,
391,175,18,9.72,OK,already_opt_fast,True,False,False,False,False,optimized=true; wave2 partial C (unmerged),,
392,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
393,25,18,1.39,OK,fast_no_action,False,False,False,False,False,,,
394,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
395,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
396,5,2,2.5,OK,fast_no_action,False,True,False,False,True,,,
397,3462,771,4.49,OK,fast_playbook_residual,False,False,False,False,False,,triangle-on-grid; look for independent k loops,low
398,525,322,1.63,OK,fast_no_action,False,False,False,False,False,,,
399,3344,1172,2.85,OK,sequential_hard,False,False,False,False,False,,profiles memory-bound Fibonacci/mod-p sieve style,low
400,207,162,1.28,OK,fast_no_action,False,False,False,False,False,,,
